Asset Name,Serial Number,Model
CHAS4779,H1TMPX2,OptiPlex 7460 AIO
CHAS4780,H1VLPX2,OptiPlex 7460 AIO
CHAS4781,,
CHAS4783,H1TDPX2,OptiPlex 7460 AIO
CHAS4784,H1TFPX2,OptiPlex 7460 AIO
CHAS4785,H1VKPX2,OptiPlex 7460 AIO
CHAS4786,H1SKPX2,OptiPlex 7460 AIO
CHAS4787,H1THPX2,OptiPlex 7460 AIO
CHAS4788,H1TKPX2,OptiPlex 7460 AIO
CHAS4791,H1VMPX2,OptiPlex 7460 AIO
CHAS4792,H1TJPX2,OptiPlex 7460 AIO
CHAS4793,H1SMPX2,OptiPlex 7460 AIO
CHAS4794,H1SHPX2,OptiPlex 7460 AIO
CHAS4795,H1VCPX2,OptiPlex 7460 AIO
CHAS4796,H1SJPX2,OptiPlex 7460 AIO
CHAS4797,H1VJPX2,OptiPlex 7460 AIO
CHAS4799,H1VFPX2,OptiPlex 7460 AIO
CHAS4801,H1SGPX2,OptiPlex 7460 AIO
CHAS4802,H1TCPX2,OptiPlex 7460 AIO
CHAS4810,7BPY2X2,Latitude 5590
CHAS4813,DD16PX2,OptiPlex 7060
CHAS4814,H1SLPX2,OptiPlex 7460 AIO
CHAS4815,3JLB9G3,Latitude 5520
CHAS4818,FLZJN23,Precision Tower 3431
CHAS4819,FLZHN23,Precision Tower 3431
CHAS4824,CH3L8Y2,Latitude 5590
CHAS4825,G25BPY2,OptiPlex 7060
CHAS4828,G267PY2,OptiPlex 7060
CHAS4829,H3B9PY2,OptiPlex 7460 AIO
CHAS4830,H3C0PY2,OptiPlex 7460 AIO
CHAS4831,H3C3PY2,OptiPlex 7460 AIO
CHAS4832,H3B7PY2,OptiPlex 7460 AIO
CHAS4833,H3B8PY2,OptiPlex 7460 AIO
CHAS4834,H3BXNY2,OptiPlex 7460 AIO
CHAS4835,,
CHAS4836,H3BDPY2,OptiPlex 7460 AIO
CHAS4837,H3B6PY2,OptiPlex 7460 AIO
CHAS4838,5W5J0Z2,Latitude 5590
CHAS4840,H3C2PY2,OptiPlex 7460 AIO
CHAS4842,H3BZNY2,OptiPlex 7460 AIO
CHAS4843,H3BFPY2,OptiPlex 7460 AIO
