name,serviceTag,model,status,imagedOn,inInventory
CHAS5231,1NTLL33,Latitude 5500,DEPLOYED,,0
CHAS6890,1PNFWL3,Latitude 5530,DEPLOYED,,0
CHAS6145,1PNZFK3,Precision 5560,DEPLOYED,,0
CHAS5211,1PP5L33,Latitude 5500,DEPLOYED,,0
CHAS6893,1QNFWL3,Latitude 5530,DEPLOYED,,0
CHAS6964,1QPH5S3,OptiPlex 7090,DEPLOYED,,0
CHAS6124,1QV3VG3,Latitude 5520,DEPLOYED,,0
CHAS5768,1RFSR93,Latitude 5520,DEPLOYED,,0
CHAS5245,1RQ8X33,Latitude 5500,DEPLOYED,,0
CHAS6507,1RQZCL3,Latitude 5520,DEPLOYED,,0
CHAS6473,1RZQTG3,Latitude 5520,DEPLOYED,,0
CHAS5724,1SQQ253,Latitude 5500,DEPLOYED,,0
CHAS7150,1T4F7S3,Latitude 5530,DEPLOYED,,0
CHAS6343,1TCDHG3,Latitude 5520,DEPLOYED,,0
CHAS7145,1TGWHW3,Latitude 7530,DEPLOYED,,0
CHAS5596,1TTFN93,Latitude 5520,DEPLOYED,,0
CHAS5668,1VLT8B3,OptiPlex 7080,DEPLOYED,,0
CHAS5628,1VLV8B3,OptiPlex 7080,DEPLOYED,,0
CHAS7166,1VM1JW3,Latitude 7530,DEPLOYED,,0
CHAS5045,1VR4X33,Latitude 5500,DEPLOYED,,0
CHAS7009,1W44CS3,Latitude 5530,DEPLOYED,,0
CHAS5940,1WF54B3,Latitude 5520,DEPLOYED,,0
CHAS6729,1WPHSL3,Latitude 5520,DEPLOYED,,0
CHAS5821,1XMXV93,Latitude 5520,DEPLOYED,,0
CHAS6640,1XPHSL3,Latitude 5520,DEPLOYED,,0
CHAS5942,1Y17BG3,Latitude 5520,DEPLOYED,,0
CHAS5299,1Y2NM53,XPS 13 9300,DEPLOYED,,0
CHAS6387,1Y3VHG3,Latitude 5520,DEPLOYED,,0
CHAS5104,1YFH333,OptiPlex 7070,DEPLOYED,,0
CHAS7003,1YLTRT3,OptiPlex 7400 AIO,DEPLOYED,,0
CHAS7178,1YMYHW3,Latitude 7530,DEPLOYED,,0
CHAS6667,1YPHSL3,Latitude 5520,DEPLOYED,,0
CHAS5823,1YS1333,OptiPlex 5070,DEPLOYED,,0
CHAS5957,1Z17BG3,Latitude 5520,DEPLOYED,,0
CHAS4901,1Z7D1Z2,Latitude 5500,DEPLOYED,,0
CHAS5218,1ZMKL33,Latitude 5500,DEPLOYED,,0
CHAS5468,1ZRS573,Latitude 5510,DEPLOYED,,0
CHAS6300,2027BG3,Latitude 5520,DEPLOYED,,0
CHAS5967,205YGG3,Latitude 5520,DEPLOYED,,0
CHAS5809,20JXV93,Latitude 5520,DEPLOYED,,0
CHAS5697,20YZP93,Latitude 5520,DEPLOYED,,0
CHAS5937,2127BG3,Latitude 5520,DEPLOYED,,0
CHAS6068,215YGG3,Latitude 5520,DEPLOYED,,0
CHAS5302,21D1N53,Latitude 5510,DEPLOYED,,0
CHAS6656,21LB9G3,Latitude 5520,DEPLOYED,,0
CHAS6479,21RCML3,Latitude 5520,DEPLOYED,,0
CHAS6579,21SSBL3,Latitude 5520,DEPLOYED,,0
CHAS5560,228K593,Latitude 5510,DEPLOYED,,0
CHAS6159,22CJRG3,Latitude 5520,DEPLOYED,,0
CHAS5803,22GXV93,Latitude 5520,DEPLOYED,,0
CHAS5924,22LB9G3,Latitude 5520,DEPLOYED,,0
CHAS5618,22N5Y93,Latitude 5520,DEPLOYED,,0
CHAS7217,22XY5X3,OptiPlex 7400 AIO,DEPLOYED,,0
CHAS6165,23B5ZC3,OptiPlex 7480 AIO,DEPLOYED,,0
CHAS6163,23B6ZC3,OptiPlex 7480 AIO,DEPLOYED,,0
CHAS5635,23HCZ93,Latitude 5520,DEPLOYED,,0
CHAS6527,23TSFK3,Precision 5560,DEPLOYED,,0
CHAS4965,23XNYY2,Latitude 5500,DEPLOYED,,0
CHAS5462,241S573,Latitude 5510,DEPLOYED,,0
CHAS6624,24W39R3,OptiPlex 7400 AIO,DEPLOYED,,0
CHAS5887,24ZJ5B3,Latitude 5520,DEPLOYED,,0
CHAS5988,25JZ2L3,OptiPlex 5090,DEPLOYED,,0
CHAS6980,25KQRT3,OptiPlex 5000,DEPLOYED,,0
CHAS7155,2615HS3,Latitude 5530,DEPLOYED,,0
CHAS6167,26LBHG3,Latitude 5520,DEPLOYED,,0
CHAS4922,2749ZY2,Latitude 5500,DEPLOYED,,0
CHAS4885,27TJ1X2,Latitude 5500,DEPLOYED,,0
CHAS6093,27W8TG3,Latitude 5520,DEPLOYED,,0
CHAS7212,27ZXKS3,Latitude 5540,DEPLOYED,,0
CHAS5774,28BWR73,Latitude 5510,DEPLOYED,,0
CHAS5053,28WGP13,Latitude 5500,DEPLOYED,,0
CHAS5135,293RM13,Latitude 5500,DEPLOYED,,0
CHAS5820,297XV93,Latitude 5520,DEPLOYED,,0
CHAS7182,29FXHW3,Latitude 7530,DEPLOYED,,0
CHAS4972,29XNYY2,Latitude 5500,DEPLOYED,,0
CHAS5835,29ZZP93,Latitude 5520,DEPLOYED,,0
CHAS5867,2B2H4B3,Latitude 5520,DEPLOYED,,0
CHAS6129,2BP4VG3,Latitude 5520,DEPLOYED,,0
CHAS5712,2BZZP93,Latitude 5520,DEPLOYED,,0
CHAS5963,2CG54B3,Latitude 5520,DEPLOYED,,0
CHAS6661,2CMHPR3,OptiPlex 7400 AIO,DEPLOYED,,0
CHAS6726,2CNSPR3,OptiPlex 7400 AIO,DEPLOYED,,0
CHAS5552,2CXQ253,Latitude 5500,DEPLOYED,,0
CHAS5827,2CZZP93,Latitude 5520,DEPLOYED,,0
CHAS5106,2D3RM13,Latitude 5500,DEPLOYED,,0
CHAS5770,2DDSR93,Latitude 5520,DEPLOYED,,0
CHAS5677,2DVM0B3,Latitude 5520,DEPLOYED,,0
CHAS5442,2DXQ253,Latitude 5500,DEPLOYED,,0
CHAS5082,2DZHP13,Latitude 5500,DEPLOYED,,0
CHAS6306,2F1B7M3,XPS 15 9510,DEPLOYED,,0
CHAS6281,2F8MJM3,OptiPlex 7090,DEPLOYED,,0
CHAS5087BP,2F8RN13,Latitude 7300,DEPLOYED,,0
CHAS7039,2FC88S3,Latitude 5530,DEPLOYED,,0
CHAS5029,2FCCK13,Latitude 5500,DEPLOYED,,0
CHAS5643,2FFNZ93,Latitude 5520,DEPLOYED,,0
CHAS5269,2FMVN53,Latitude 5510,DEPLOYED,,0
CHAS6548,2FZSKQ3,OptiPlex 5090,DEPLOYED,,0
CHAS5054,2G7HP13,Latitude 5500,DEPLOYED,,0
CHAS4880,2G8CBZ2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4876,2G8DBZ2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4877,2G8FBZ2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4871,2G94BZ2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4870,2G95BZ2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4874,2G97BZ2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4879,2G98BZ2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4875,2G99BZ2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4878,2G9BBZ2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4872,2G9CBZ2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS6933,2G9S6S3,Latitude 5530,DEPLOYED,,0
CHAS7021,2GC88S3,Latitude 5530,DEPLOYED,,0
CHAS4904,2GDGZY2,Latitude 5500,DEPLOYED,,0
CHAS5226,2GHN433,Latitude 7400,DEPLOYED,,0
CHAS5202,2H1ZK33,Latitude 5500,DEPLOYED,,0
CHAS6013,2H27BG3,Latitude 5520,DEPLOYED,,0
CHAS6921,2H9S6S3,Latitude 5530,DEPLOYED,,0
CHAS6014,2J27BG3,Latitude 5520,DEPLOYED,,0
CHAS6970,2J5M5S3,OptiPlex 5090,DEPLOYED,,0
CHAS6957,2J9S6S3,Latitude 5530,DEPLOYED,,0
CHAS5112,2JDDN13,Latitude 5500,DEPLOYED,,0
CHAS4864,2JSZ1Z2,Latitude 5500,DEPLOYED,,0
CHAS7113,2JYSGS3,Latitude 5530,DEPLOYED,,0
CHAS6821,2K0HVL3,Latitude 5530,DEPLOYED,,0
CHAS5695,2KBVQ93,Latitude 5520,DEPLOYED,,0
CHAS5852,2KG54B3,Latitude 5520,DEPLOYED,,0
CHAS5318,2KGN063,Latitude 5510,DEPLOYED,,0
CHAS7132,2KYSGS3,Latitude 5530,DEPLOYED,,0
CHAS6824,2L0HVL3,Latitude 5530,DEPLOYED,,0
CHAS6027,2L6M3J3,Latitude 7420,DEPLOYED,,0
CHAS5268,2LMVN53,Latitude 5510,DEPLOYED,,0
CHAS6603,2LNCPL3,Latitude 5520,DEPLOYED,,0
CHAS7002,2M7S6S3,Latitude 5530,DEPLOYED,,0
CHAS6770,2M98QR3,OptiPlex 7400 AIO,DEPLOYED,,0
CHAS6817,2MBR5S3,OptiPlex 7400 AIO,DEPLOYED,,0
CHAS6390,2MBSRG3,Latitude 5520,DEPLOYED,,0
CHAS5595,2MGRN93,Latitude 5520,DEPLOYED,,0
CHAS6636,2MNCPL3,Latitude 5520,DEPLOYED,,0
CHAS6435,2MQJWG3,Latitude 5520,DEPLOYED,,0
CHAS4717,2MR61X2,Latitude 5590,DEPLOYED,,0
CHAS6107,2MSTBK3,Precision 5560,DEPLOYED,,0
CHAS5665,2NFHX93,Latitude 5520,DEPLOYED,,0
CHAS6591,2NNCPL3,Latitude 5520,DEPLOYED,,0
CHAS6852,2NNFWL3,Latitude 5530,DEPLOYED,,0
CHAS6447,2NQJWG3,Latitude 5520,DEPLOYED,,0
CHAS5077,2P6D2R2,Latitude 5500,DEPLOYED,,0
CHAS5086,2PCDP13,Latitude 5500,DEPLOYED,,0
CHAS4869,2PHXZY2,Latitude 5500,DEPLOYED,,0
CHAS6798,2PNFWL3,Latitude 5530,DEPLOYED,,0
CHAS5173,2PRS533,Latitude 5500,DEPLOYED,,0
CHAS7146,2QGWHW3,Latitude 7530,DEPLOYED,,0
CHAS6445,2QL3VG3,Latitude 5520,DEPLOYED,,0
CHAS6880,2QNFWL3,Latitude 5530,DEPLOYED,,0
CHAS6101,2QV3VG3,Latitude 5520,DEPLOYED,,0
CHAS5767,2RFSR93,Latitude 5520,DEPLOYED,,0
CHAS5476,2RNR573,Latitude 5510,DEPLOYED,,0
CHAS6515,2RQZCL3,Latitude 5520,DEPLOYED,,0
CHAS6418,2RZQTG3,Latitude 5520,DEPLOYED,,0
CHAS4772,2S4GPX2,Precision Tower 3430,DEPLOYED,,0
CHAS4771,2S5FPX2,Precision Tower 3430,DEPLOYED,,0
CHAS5411,2T8CH63,OptiPlex 7470 AIO,DEPLOYED,,0
CHAS6330,2TCDHG3,Latitude 5520,DEPLOYED,,0
CHAS5056,2V1HP13,Latitude 5500,DEPLOYED,,0
CHAS7192,2V1WQJ3,OptiPlex 5090,DEPLOYED,,0
CHAS6032,2W4YGG3,Latitude 5520,DEPLOYED,,0
CHAS6287,2WF54B3,Latitude 5520,DEPLOYED,,0
CHAS6650,2WPHSL3,Latitude 5520,DEPLOYED,,0
CHAS5928,2XB54B3,Latitude 5520,DEPLOYED,,0
CHAS4721,2XH22X2,Latitude 5590,DEPLOYED,,0
CHAS5326,2XPG163,Latitude 5510,DEPLOYED,,0
CHAS6649,2XPHSL3,Latitude 5520,DEPLOYED,,0
CHAS5548,2XSR253,Latitude 5500,DEPLOYED,,0
CHAS5941,2Y17BG3,Latitude 5520,DEPLOYED,,0
CHAS6356,2Y3VHG3,Latitude 5520,DEPLOYED,,0
CHAS6972,2YLTRT3,OptiPlex 7400 AIO,DEPLOYED,,0
CHAS6675,2YPHSL3,Latitude 5520,DEPLOYED,,0
CHAS4715,2YST1X2,Latitude 5590,DEPLOYED,,0
CHAS5915,2Z17BG3,Latitude 5520,DEPLOYED,,0
CHAS5347,2ZYTZC3,OptiPlex 7480 AIO,DEPLOYED,,0
CHAS6230,3027BG3,Latitude 5520,DEPLOYED,,0
CHAS6033,305YGG3,Latitude 5520,DEPLOYED,,0
CHAS5523,30CLQ73,Latitude 5510,DEPLOYED,,0
CHAS4865,30K72Z2,Latitude 5500,DEPLOYED,,0
CHAS4857,30WV4Z2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS5693,3100Q93,Latitude 5520,DEPLOYED,,0
CHAS5901,3127BG3,Latitude 5520,DEPLOYED,,0
CHAS4859,312Z4Z2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS5551,313P253,Latitude 5500,DEPLOYED,,0
CHAS4585,315GHV2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4588,315HHV2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4576,315JHV2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4592,315LHV2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4591,316GHV2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4586,316HHV2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4589,316LHV2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4587,316MHV2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4593,317KHV2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS4858,317V4Z2,OptiPlex 7460 AIO,DEPLOYED,,0
CHAS6585,31SSBL3,Latitude 5520,DEPLOYED,,0
CHAS5912,3227BG3,Latitude 5520,DEPLOYED,,0
CHAS6377,32CJRG3,Latitude 5520,DEPLOYED,,0
